listing_id,price_egp,area_value,bedrooms,bathrooms,property_type,category,furnished,completion_status,payment_method,city,district,subdistrict,lat,lon,listing_level,images_count,price_per_sqm,total_rooms,location_popularity,investment_score,log_price,is_premium_listing,data_completeness
EGY100012,959000.0,58.1,0,1,Studio,For Sale,Semi-Furnished,Ready to Move,Installments,Alexandria,Smouha,Smouha Zone 3,31.23086,29.880498,Featured,15,16506.02,1,0.086,5.89,13.7736473966179,0,1.0
EGY100013,13000.0,320.5,3,4,Townhouse,For Rent,Unfurnished,Off Plan,Cash,Sheikh Zayed,Hyde Park,Hyde Park Zone 2,30.083212,30.956389,Standard,2,40.56,7,0.0955,4.07,9.472781556562168,0,1.0
EGY100014,12291000.0,312.5,6,5,Villa,For Sale,Semi-Furnished,Ready to Move,Installments,Sheikh Zayed,Allegria,Allegria Zone 3,30.07666,30.944197,Premium,3,39331.2,11,0.0955,6.31,16.32437792655746,1,1.0
EGY100015,3000.0,128.1,1,1,Apartment,For Rent,Furnished,Ready to Move,Installments,Sheikh Zayed,Zayed Regency,Zayed Regency Zone 1,30.01839,30.927966,Standard,14,23.42,2,0.0955,5.88,8.006700845440367,0,1.0
EGY100016,14387000.0,297.5,3,4,Duplex,For Sale,Unfurnished,Ready to Move,Cash or Installments,Maadi,Sarayat,Sarayat Zone 3,29.937986,31.261082,Standard,12,48359.66,7,0.073,3.53,16.48183564852636,0,1.0
EGY100017,4522000.0,158.0,2,1,Chalet,For Sale,Semi-Furnished,Ready to Move,Installments,Nasr City,Nasr City South,Nasr City South Zone 2,30.075336,31.37121,Standard,22,28620.25,3,0.088,4.87,15.324465152961116,0,1.0
EGY100018,14468000.0,370.3,3,4,Townhouse,For Sale,Furnished,Ready to Move,Cash,Heliopolis,Almaza,Almaza Zone 2,30.06312,31.312074,Standard,13,39071.02,7,0.071,4.53,16.487449941172176,0,1.0
EGY100019,6000.0,306.3,4,4,Villa,For Rent,Unfurnished,Ready to Move,Cash,Maadi,Maadi Degla,Maadi Degla Zone 1,29.953394,31.197964,Standard,10,19.59,8,0.073,5.0,8.699681400989514,0,1.0
EGY100020,1742000.0,98.5,1,1,Apartment,For Sale,Semi-Furnished,Ready to Move,Cash or Installments,6th October,Dream Land,Dream Land Zone 3,29.969575,30.970214,Featured,1,17685.28,2,0.1095,5.72,14.370545010447234,0,1.0
EGY100021,17286000.0,338.8,3,3,Villa,For Sale,Semi-Furnished,Ready to Move,Cash or Installments,New Cairo,5th Settlement,5th Settlement Zone 3,30.028078,31.452292,Featured,7,51021.25,6,0.195,6.19,16.665407541145,0,1.0
EGY100022,8767000.0,362.9,3,4,Townhouse,For Sale,Unfurnished,Ready to Move,Cash or Installments,Maadi,Laselky,Laselky Zone 1,29.945508,31.264404,Premium,5,24158.17,7,0.073,6.04,15.98650534463482,1,1.0
EGY100023,7659000.0,158.7,2,2,Apartment,For Sale,Semi-Furnished,Under Construction,Cash,Zamalek,Zamalek North,Zamalek North Zone 1,30.019767,31.193114,Featured,8,48260.87,4,0.047,3.83,15.85139211545707,0,1.0
EGY100024,12400000.0,316.5,5,5,Duplex,For Sale,Furnished,Under Construction,Cash or Installments,Heliopolis,Roxy,Roxy Zone 2,30.091751,31.317656,Featured,3,39178.52,10,0.071,4.85,16.333207111220425,0,1.0
EGY100025,1336000.0,79.3,1,1,Apartment,For Sale,Unfurnished,Off Plan,Cash or Installments,Giza,Agouza,Agouza Zone 1,30.004942,31.190569,Standard,23,16847.41,2,0.082,3.9,14.105191381581442,0,1.0
EGY100026,3819000.0,152.4,3,4,Chalet,For Sale,Unfurnished,Under Construction,Cash or Installments,Sheikh Zayed,Beverly Hills,Beverly Hills Zone 3,30.047652,30.949632,Premium,15,25059.06,7,0.0955,6.2,15.15549942805627,1,1.0
EGY100027,7289000.0,381.4,3,4,Villa,For Sale,Furnished,Ready to Move,Cash,Nasr City,Nasr City North,Nasr City North Zone 3,30.055482,31.308587,Featured,3,19111.17,7,0.088,6.02,15.801877057557371,0,1.0
EGY100028,3000.0,80.9,4,4,Apartment,For Rent,Unfurnished,Ready to Move,Cash,6th October,Juhayna,Juhayna Zone 3,29.926558,30.93293,Premium,24,37.08,8,0.1095,7.97,8.006700845440367,1,1.0
EGY100029,5036000.0,116.4,3,2,Apartment,For Sale,Unfurnished,Ready to Move,Installments,New Cairo,Rehab City,Rehab City Zone 1,29.951286,31.43338,Premium,5,43264.6,5,0.195,6.97,15.432122872716649,1,1.0
EGY100030,5274000.0,312.1,4,4,Twin House,For Sale,Unfurnished,Ready to Move,Installments,6th October,Zizinia,Zizinia Zone 2,29.944513,30.909705,Standard,17,16898.43,8,0.1095,5.2,15.478299835504755,0,1.0
EGY100031,7401000.0,,3,2,Chalet,For Sale,Furnished,Ready to Move,Cash or Installments,New Cairo,5th Settlement,5th Settlement Zone 3,30.024844,31.436755,Featured,19,,5,0.195,7.79,15.81712581929647,0,0.88
EGY100032,12403000.0,211.7,2,3,Penthouse,For Sale,Unfurnished,Under Construction,Cash,New Cairo,Mostakbal City,Mostakbal City Zone 2,30.037612,31.484031,Premium,5,58587.62,5,0.195,6.05,16.333449017423117,1,1.0
EGY100033,12000.0,371.6,6,5,Villa,For Rent,Unfurnished,Ready to Move,Cash,North Coast,Sidi Abd El Rahman,Sidi Abd El Rahman Zone 2,31.049596,28.311716,Premium,19,32.29,11,0.047,7.09,9.392745258631441,1,1.0
EGY100034,2237000.0,106.6,2,2,Chalet,For Sale,Unfurnished,Under Construction,Cash or Installments,Ain Sokhna,Mountain View Sokhna,Mountain View Sokhna Zone 1,29.598353,32.358567,Standard,17,20984.99,4,0.043,3.58,14.620646687499436,0,1.0
EGY100035,4000.0,166.7,4,3,Chalet,For Rent,Semi-Furnished,Ready to Move,Cash or Installments,Giza,Mohandeseen,Mohandeseen Zone 2,30.036564,31.233674,Premium,19,24.0,7,0.082,7.74,8.294299608857235,1,1.0
EGY100036,11959000.0,284.4,4,4,Townhouse,For Sale,Semi-Furnished,Ready to Move,Installments,Maadi,Sarayat,Sarayat Zone 3,29.956288,31.249306,Standard,15,42049.93,8,0.073,4.22,16.296994774569974,0,1.0
EGY100037,11497000.0,218.7,2,3,Penthouse,For Sale,Unfurnished,Ready to Move,Installments,New Cairo,Rehab City,Rehab City Zone 3,30.024269,31.453547,Standard,4,52569.73,5,0.195,4.65,16.257596776715086,0,1.0
EGY100038,4000.0,120.7,4,4,Apartment,For Rent,Furnished,Under Construction,Cash,Dokki,Mesaha,Mesaha Zone 2,29.991773,31.187118,Standard,2,33.14,8,0.063,4.84,8.294299608857235,0,1.0
EGY100039,3609000.0,139.9,3,1,Apartment,For Sale,Semi-Furnished,Ready to Move,Cash,Heliopolis,Korba,Korba Zone 3,30.06436,31.350051,Standard,19,25797.0,4,0.071,4.67,15.098941560709953,0,1.0
EGY100040,8271000.0,402.5,4,3,Townhouse,For Sale,Unfurnished,Ready to Move,Installments,New Cairo,Madinaty,Madinaty Zone 2,29.999784,31.475032,Featured,24,20549.07,7,0.195,7.42,15.928266099578401,0,1.0
EGY100041,5000.0,217.1,4,3,Townhouse,For Rent,Unfurnished,Ready to Move,Installments,Nasr City,Al Ahly,Al Ahly Zone 1,30.050163,31.334656,Standard,17,23.03,7,0.088,5.4,8.517393171418904,0,1.0
EGY100042,4419000.0,174.8,2,3,Chalet,For Sale,Semi-Furnished,Ready to Move,Installments,New Cairo,Mostakbal City,Mostakbal City Zone 2,30.025212,31.498349,Premium,4,25280.32,5,0.195,7.84,15.301424210408394,1,1.0
EGY100043,9031000.0,276.3,3,4,Townhouse,For Sale,Semi-Furnished,Under Construction,Cash,Alexandria,Stanley,Stanley Zone 1,31.20266,29.925919,Standard,11,32685.49,7,0.086,4.05,16.016173771962638,0,1.0
EGY100044,6301000.0,134.8,2,1,Apartment,For Sale,Unfurnished,Ready to Move,Cash or Installments,Sheikh Zayed,Allegria,Allegria Zone 2,30.041408,30.969823,Standard,16,46743.32,3,0.0955,3.85,15.656219067629147,0,1.0
EGY100045,11452000.0,291.8,4,4,Villa,For Sale,Semi-Furnished,Ready to Move,Installments,6th October,Zizinia,Zizinia Zone 3,29.971165,30.912375,Featured,2,39246.06,8,0.1095,5.34,16.25367503252113,0,1.0
EGY100046,14220000.0,279.4,3,4,Twin House,For Sale,Furnished,Ready to Move,Cash,Maadi,Maadi Degla,Maadi Degla Zone 3,29.91424,31.225986,Standard,10,50894.77,7,0.073,4.09,16.470160052662855,0,1.0
EGY100047,500000.0,114.8,3,3,Apartment,For Sale,Semi-Furnished,Ready to Move,Installments,Nasr City,Ard El Golf,Ard El Golf Zone 3,30.081461,31.351546,Premium,6,4355.4,6,0.088,7.19,13.122365377402328,1,1.0
EGY100048,13000.0,397.1,4,3,Villa,For Rent,Unfurnished,Ready to Move,Installments,Nasr City,Nasr City South,Nasr City South Zone 1,30.08966,31.289457,Featured,7,32.74,7,0.088,6.05,9.472781556562168,0,1.0
EGY100049,14000.0,340.2,3,3,Twin House,For Rent,Furnished,Ready to Move,Cash,Sheikh Zayed,Zayed Regency,Zayed Regency Zone 3,30.075473,31.013184,Standard,13,41.15,6,0.0955,6.02,9.546884034617925,0,1.0
EGY100050,13996000.0,427.6,5,6,Twin House,For Sale,Furnished,Ready to Move,Cash,Ain Sokhna,Porto Sokhna,Porto Sokhna Zone 2,29.586188,32.375942,Standard,10,32731.52,11,0.043,4.42,16.454282203918698,0,1.0
EGY100051,3000.0,141.7,3,3,Apartment,For Rent,Furnished,Ready to Move,Cash or Installments,Giza,Mohandeseen,Mohandeseen Zone 1,30.043435,31.243418,Standard,15,21.17,6,0.082,5.91,8.006700845440367,0,1.0
EGY100052,4282000.0,185.4,4,4,Townhouse,For Sale,Unfurnished,Under Construction,Cash,North Coast,Hacienda Bay,Hacienda Bay Zone 2,31.010773,28.30575,Standard,22,23096.01,8,0.047,3.91,15.26993098166747,0,1.0
EGY100053,11288000.0,346.0,3,2,Villa,For Sale,Semi-Furnished,Off Plan,Cash or Installments,Alexandria,Smouha,Smouha Zone 1,31.201439,29.929955,Premium,12,32624.28,5,0.086,5.56,16.239250861104434,1,1.0
EGY100054,2429000.0,102.8,2,1,Apartment,For Sale,Furnished,Under Construction,Installments,6th October,Palm Hills,Palm Hills Zone 3,29.972777,30.930574,Standard,17,23628.4,3,0.1095,5.04,14.70299061967628,0,1.0
EGY100055,9583000.0,340.2,5,5,Duplex,For Sale,Unfurnished,Under Construction,Cash or Installments,North Coast,Alamein,Alamein Zone 1,31.063903,28.316396,Featured,22,28168.72,10,0.047,4.84,16.07550135767735,0,1.0
EGY100056,4357000.0,108.2,3,4,Apartment,For Sale,Furnished,Ready to Move,Cash,New Cairo,5th Settlement,5th Settlement Zone 2,30.134876,31.426098,Standard,13,40268.02,7,0.195,6.12,15.287294534615274,0,1.0
EGY100057,10937000.0,344.1,4,4,Villa,For Sale,Unfurnished,Ready to Move,Installments,Sheikh Zayed,Beverly Hills,Beverly Hills Zone 2,30.064615,30.979726,Standard,4,31784.37,8,0.0955,4.11,16.20766218575011,0,1.0
EGY100058,3000.0,130.6,1,2,Apartment,For Rent,Unfurnished,Ready to Move,Installments,New Cairo,Madinaty,Madinaty Zone 1,30.053378,31.461283,Standard,19,22.97,3,0.195,6.71,8.006700845440367,0,1.0
EGY100059,10000.0,384.7,4,5,Twin House,For Rent,Unfurnished,Ready to Move,Installments,Maadi,Sarayat,Sarayat Zone 2,29.881874,31.265968,Standard,16,25.99,9,0.073,5.25,9.210440366976517,0,1.0
EGY100060,5000.0,187.1,3,4,Chalet,For Rent,Unfurnished,Ready to Move,Cash,Zamalek,Zamalek North,Zamalek North Zone 3,30.08043,31.205383,Standard,13,26.72,7,0.047,4.72,8.517393171418904,0,1.0
EGY100061,3541000.0,103.8,2,2,Apartment,For Sale,Furnished,Ready to Move,Installments,Sheikh Zayed,Zayed Regency,Zayed Regency Zone 2,30.074358,31.000135,Premium,22,34113.68,4,0.0955,7.19,15.0799200135001,1,1.0
EGY100062,11000.0,409.8,3,4,Villa,For Rent,Semi-Furnished,Ready to Move,Installments,Alexandria,Gleem,Gleem Zone 3,31.221161,29.897466,Premium,22,26.84,7,0.086,7.9,9.305741456739435,1,1.0
EGY100063,4131000.0,259.7,4,5,Villa,For Sale,Furnished,Under Construction,Installments,Maadi,Old Maadi,Old Maadi Zone 1,29.974261,31.25561,Premium,10,15906.82,9,0.073,6.8,15.23403030845101,1,1.0
EGY100064,11539000.0,258.3,4,4,Penthouse,For Sale,Unfurnished,Off Plan,Cash or Installments,Maadi,Sarayat,Sarayat Zone 2,29.966902,31.274932,Featured,7,44672.86,8,0.073,3.62,16.261243246839424,0,1.0
EGY100065,3000.0,64.2,0,1,Studio,For Rent,Furnished,Ready to Move,Cash or Installments,Nasr City,Nasr City South,Nasr City South Zone 3,30.109024,31.265699,Premium,17,46.73,1,0.088,7.85,8.006700845440367,1,1.0
EGY100066,2254000.0,61.6,4,4,Apartment,For Sale,Furnished,Under Construction,Cash,New Cairo,Rehab City,Rehab City Zone 1,30.033952,31.443034,Featured,14,36590.91,8,0.195,6.86,14.628217417237483,0,1.0
EGY100067,21000.0,510.3,3,3,Villa,For Rent,Unfurnished,Off Plan,Cash,Giza,Mohandeseen,Mohandeseen Zone 3,30.015615,31.216898,Featured,3,41.15,6,0.082,4.89,9.952325334619427,0,1.0
EGY100068,1697000.0,65.6,0,1,Studio,For Sale,Furnished,Ready to Move,Cash or Installments,New Cairo,Madinaty,Madinaty Zone 3,30.032092,31.450807,Premium,23,25868.9,1,0.195,8.67,14.34437313349138,1,1.0
EGY100069,2222000.0,150.0,1,1,Apartment,For Sale,Semi-Furnished,Under Construction,Cash,Ain Sokhna,Porto Sokhna,Porto Sokhna Zone 3,29.58469,32.356352,Standard,18,14813.33,2,0.043,4.08,14.613918699226616,0,1.0
EGY100070,2511000.0,106.6,3,3,Apartment,For Sale,Unfurnished,Ready to Move,Installments,Giza,Haram,Haram Zone 1,30.009181,31.201982,Standard,10,23555.35,6,0.082,4.31,14.736192036387353,0,1.0
EGY100071,11046000.0,323.3,3,4,Twin House,For Sale,Unfurnished,Ready to Move,Installments,Sheikh Zayed,Allegria,Allegria Zone 2,29.997576,30.956159,Standard,3,34166.41,7,0.0955,3.96,16.217579019973776,0,1.0
EGY100072,5000.0,122.1,3,2,Apartment,For Rent,Semi-Furnished,Ready to Move,Installments,New Cairo,Mostakbal City,Mostakbal City Zone 3,29.991013,31.494892,Featured,19,40.95,5,0.195,8.14,8.517393171418904,0,1.0
EGY100073,3000.0,139.5,1,1,Apartment,For Rent,Unfurnished,Ready to Move,Cash,Giza,Haram,Haram Zone 3,30.003553,31.218304,Standard,4,21.51,2,0.082,4.66,8.006700845440367,0,1.0
EGY100074,9000.0,165.4,2,2,Penthouse,For Rent,Semi-Furnished,Ready to Move,Cash or Installments,Dokki,Dokki Center,Dokki Center Zone 2,30.056938,31.17941,Standard,9,54.41,4,0.063,5.02,9.105090961257085,0,1.0
EGY100075,7401000.0,,5,6,Twin House,For Sale,Furnished,Under Construction,Cash or Installments,Dokki,Batal Ahmed Square,Batal Ahmed Square Zone 2,30.09896,31.226193,Featured,9,,11,0.063,5.51,15.81712581929647,0,0.88
EGY100076,1484000.0,66.7,0,1,Studio,For Sale,Semi-Furnished,Ready to Move,Installments,Giza,Agouza,Agouza Zone 2,30.007985,31.188527,Standard,11,22248.88,1,0.082,4.52,14.210252376563684,0,1.0
EGY100077,8327000.0,221.0,5,6,Duplex,For Sale,Semi-Furnished,Under Construction,Cash or Installments,New Cairo,Madinaty,Madinaty Zone 2,29.979693,31.472776,Standard,14,37678.73,11,0.195,5.61,15.93501392530922,0,1.0
EGY100078,12699000.0,276.4,3,3,Twin House,For Sale,Unfurnished,Ready to Move,Installments,Maadi,Old Maadi,Old Maadi Zone 3,30.024241,31.237482,Premium,9,45944.28,6,0.073,5.46,16.357033886917524,1,1.0
EGY100079,3000.0,81.2,4,3,Apartment,For Rent,Unfurnished,Ready to Move,Installments,New Cairo,Mostakbal City,Mostakbal City Zone 2,30.009288,31.470123,Featured,13,36.95,7,0.195,7.67,8.006700845440367,0,1.0
EGY100080,8000.0,367.6,4,3,Villa,For Rent,Unfurnished,Off Plan,Cash,Alexandria,Smouha,Smouha Zone 1,31.225682,29.948734,Standard,17,21.76,7,0.086,4.47,8.987321812850125,0,1.0
EGY100081,4129000.0,146.9,3,3,Chalet,For Sale,Unfurnished,Ready to Move,Cash or Installments,6th October,Dream Land,Dream Land Zone 3,29.956236,30.939836,Featured,23,28107.56,6,0.1095,5.98,15.23354604705759,0,1.0
EGY100082,2603000.0,114.5,3,4,Apartment,For Sale,Furnished,Ready to Move,Cash or Installments,Maadi,Sarayat,Sarayat Zone 3,29.953616,31.258879,Premium,12,22733.62,7,0.073,7.03,14.772175568148738,1,1.0
EGY100083,4407000.0,158.3,4,4,Apartment,For Sale,Furnished,Ready to Move,Cash,New Cairo,Mostakbal City,Mostakbal City Zone 2,30.041228,31.414845,Featured,6,27839.55,8,0.195,7.31,15.29870497073583,0,1.0
EGY100084,4646000.0,133.7,2,2,Apartment,For Sale,Furnished,Ready to Move,Installments,Maadi,Sarayat,Sarayat Zone 3,29.935539,31.233027,Featured,14,34749.44,4,0.073,5.6,15.351517407551384,0,1.0
EGY100085,4000.0,126.2,1,1,Apartment,For Rent,Unfurnished,Ready to Move,Installments,Maadi,Maadi Degla,Maadi Degla Zone 2,29.975906,31.201247,Featured,1,31.7,2,0.073,5.44,8.294299608857235,0,1.0
EGY100086,12410000.0,359.3,3,2,Villa,For Sale,Furnished,Ready to Move,Installments,Dokki,Mesaha,Mesaha Zone 1,30.072775,31.231479,Standard,5,34539.38,5,0.063,4.2,16.334013237760963,0,1.0
EGY100087,9000.0,361.7,5,5,Twin House,For Rent,Unfurnished,Under Construction,Installments,6th October,Juhayna,Juhayna Zone 1,29.997335,30.933961,Standard,22,24.88,10,0.1095,5.53,9.105090961257085,0,1.0
EGY100088,3000.0,87.4,2,2,Chalet,For Rent,Unfurnished,Under Construction,Installments,Alexandria,Stanley,Stanley Zone 2,31.237123,29.906281,Standard,11,34.32,4,0.086,4.59,8.006700845440367,0,1.0
EGY100089,2531000.0,327.5,5,4,Townhouse,For Sale,Unfurnished,Ready to Move,Installments,Heliopolis,Roxy,Roxy Zone 1,30.033703,31.358591,Featured,15,7728.24,9,0.071,5.95,14.744125434627934,0,1.0
EGY100090,3459000.0,105.0,2,2,Apartment,For Sale,Unfurnished,Ready to Move,Installments,New Cairo,Rehab City,Rehab City Zone 2,30.018314,31.501559,Premium,11,32942.86,4,0.195,7.46,15.056490377020161,1,1.0
EGY100091,7213000.0,133.6,3,4,Penthouse,For Sale,Unfurnished,Under Construction,Installments,Dokki,Batal Ahmed Square,Batal Ahmed Square Zone 1,30.087341,31.176966,Standard,5,53989.52,7,0.063,2.53,15.79139565012437,0,1.0
EGY100092,1793000.0,108.3,3,3,Apartment,For Sale,Unfurnished,Off Plan,Installments,Giza,Agouza,Agouza Zone 2,30.059216,31.190333,Featured,10,16555.86,6,0.082,4.62,14.399401310311598,0,1.0
EGY100093,1864000.0,129.4,2,2,Apartment,For Sale,Semi-Furnished,Ready to Move,Cash,Nasr City,Al Ahly,Al Ahly Zone 3,30.075324,31.360917,Standard,2,14404.95,4,0.088,4.66,14.438235810708216,0,1.0
EGY100094,5335000.0,195.4,4,5,Duplex,For Sale,Furnished,Ready to Move,Cash or Installments,Giza,Haram,Haram Zone 3,29.964222,31.228536,Standard,14,27302.97,9,0.082,5.16,15.489799630159398,0,1.0
EGY100095,3000.0,62.8,0,1,Studio,For Rent,Furnished,Under Construction,Installments,Nasr City,Ard El Golf,Ard El Golf Zone 3,30.043152,31.283089,Standard,1,47.77,1,0.088,4.84,8.006700845440367,0,1.0
EGY100096,9000.0,334.9,4,4,Townhouse,For Rent,Furnished,Ready to Move,Installments,Nasr City,Al Ahly,Al Ahly Zone 2,30.045926,31.349339,Standard,13,26.87,8,0.088,6.0,9.105090961257085,0,1.0
EGY100097,10538000.0,431.3,6,6,Villa,For Sale,Furnished,Ready to Move,Installments,Heliopolis,Korba,Korba Zone 3,30.088821,31.335965,Standard,13,24433.11,12,0.071,5.19,16.17049842464603,0,1.0
EGY100098,6174000.0,304.1,5,4,Duplex,For Sale,Furnished,Off Plan,Installments,New Cairo,Madinaty,Madinaty Zone 3,29.977459,31.424173,Standard,23,20302.53,9,0.195,6.27,15.635857646013779,0,1.0
EGY100099,6694000.0,152.3,2,3,Apartment,For Sale,Unfurnished,Ready to Move,Installments,New Cairo,Rehab City,Rehab City Zone 3,30.075508,31.510534,Premium,14,43952.72,5,0.195,7.26,15.71672231014091,1,1.0
EGY100100,17947000.0,429.9,4,5,Villa,For Sale,Unfurnished,Ready to Move,Installments,New Cairo,Rehab City,Rehab City Zone 2,30.014418,31.474603,Featured,23,41746.92,9,0.195,6.81,16.70293358373103,0,1.0
EGY100101,5000.0,203.8,2,2,Penthouse,For Rent,Unfurnished,Ready to Move,Installments,6th October,Zizinia,Zizinia Zone 1,29.954626,30.89196,Standard,15,24.53,4,0.1095,5.49,8.517393171418904,0,1.0
EGY100102,17000.0,367.0,4,4,Villa,For Rent,Furnished,Under Construction,Installments,Maadi,Laselky,Laselky Zone 3,29.935777,31.25553,Premium,11,46.32,8,0.073,7.28,9.741027444837728,1,1.0
EGY100103,8000.0,213.3,4,4,Penthouse,For Rent,Semi-Furnished,Under Construction,Installments,Nasr City,Nasr City North,Nasr City North Zone 3,30.06866,31.332243,Featured,9,37.51,8,0.088,6.06,8.987321812850125,0,1.0
EGY100104,7000.0,337.2,5,5,Villa,For Rent,Unfurnished,Under Construction,Cash or Installments,Alexandria,Mandara,Mandara Zone 2,31.194697,29.873541,Standard,14,20.76,10,0.086,4.94,8.853808274977197,0,1.0
EGY100105,3546000.0,113.9,3,4,Apartment,For Sale,Furnished,Ready to Move,Cash,Sheikh Zayed,Allegria,Allegria Zone 1,30.035384,30.949442,Standard,11,31132.57,7,0.0955,5.03,15.081331047624147,0,1.0
EGY100106,3173000.0,109.1,1,1,Apartment,For Sale,Semi-Furnished,Under Construction,Cash,Heliopolis,Almaza,Almaza Zone 2,30.032457,31.335497,Premium,24,29083.41,2,0.071,6.21,14.970188385724438,1,1.0
EGY100107,6000.0,366.5,6,6,Villa,For Rent,Furnished,Ready to Move,Cash,Giza,Mohandeseen,Mohandeseen Zone 3,30.037462,31.193514,Premium,1,16.37,12,0.082,7.67,8.699681400989514,1,1.0
EGY100108,4897000.0,161.7,4,4,Apartment,For Sale,Semi-Furnished,Under Construction,Cash,Sheikh Zayed,Zayed Regency,Zayed Regency Zone 1,30.014469,30.945018,Standard,23,30284.48,8,0.0955,4.71,15.404133534891091,0,1.0
EGY100109,3000.0,117.3,5,5,Villa,For Rent,Furnished,Under Construction,Cash,New Cairo,5th Settlement,5th Settlement Zone 1,30.087124,31.518779,Featured,8,25.58,10,0.195,7.87,8.006700845440367,0,1.0
EGY100110,7154000.0,370.7,3,4,Villa,For Sale,Furnished,Ready to Move,Cash or Installments,Maadi,Laselky,Laselky Zone 3,29.97326,31.247088,Standard,3,19298.62,7,0.073,4.82,15.78318233858303,0,1.0
EGY100111,5000.0,121.6,1,2,Apartment,For Rent,Furnished,Off Plan,Cash or Installments,New Cairo,Rehab City,Rehab City Zone 1,30.104382,31.538015,Standard,5,41.12,3,0.195,6.02,8.517393171418904,0,1.0
EGY100112,15000.0,254.0,2,2,Penthouse,For Rent,Unfurnished,Ready to Move,Installments,North Coast,Alamein,Alamein Zone 2,31.054263,28.317241,Standard,17,59.06,4,0.047,4.73,9.61587214452889,0,1.0
EGY100113,9000.0,321.6,5,5,Townhouse,For Rent,Unfurnished,Under Construction,Cash or Installments,Giza,Faisal,Faisal Zone 2,29.992019,31.1767,Featured,14,27.99,10,0.082,5.89,9.105090961257085,0,1.0
EGY100114,12183000.0,351.5,5,4,Villa,For Sale,Unfurnished,Ready to Move,Cash or Installments,6th October,Zizinia,Zizinia Zone 3,29.936678,30.9508,Premium,15,34660.03,9,0.1095,6.62,16.31555217741813,1,1.0
EGY100115,2531000.0,123.1,4,4,Apartment,For Sale,Furnished,Ready to Move,Cash or Installments,Alexandria,Mandara,Mandara Zone 3,31.165304,29.938177,Standard,11,20560.52,8,0.086,5.27,14.744125434627934,0,1.0
EGY100116,4000.0,,3,4,Villa,For Rent,Unfurnished,Under Construction,Cash,Giza,Haram,Haram Zone 3,30.046254,31.261085,Standard,17,,7,0.082,4.17,8.294299608857235,0,0.88
